y,deg3,deg2,deg1
0.00159,0.37045,0.415351,0.430083
0.0016,0.369835,0.414647,0.429172
0.00161,0.369211,0.413903,0.428175
0.00162,0.368588,0.413161,0.427179
0.00163,0.367967,0.412421,0.426182
0.00164,0.367347,0.411684,0.425187
0.00165,0.366729,0.410949,0.424191
0.00166,0.366113,0.410217,0.423196
0.00167,0.365499,0.409487,0.422202
0.00168,0.364887,0.408759,0.421207
0.00169,0.364276,0.408034,0.420214
0.0017,0.363668,0.407311,0.41922
0.00171,0.363061,0.40659,0.418227
0.00172,0.362456,0.405872,0.417235
0.00173,0.361852,0.405157,0.416243
0.00174,0.361255,0.404438,0.415228
0.00175,0.360662,0.40372,0.414202
0.00176,0.360071,0.403004,0.413177
0.00177,0.359481,0.402289,0.412152
0.00178,0.358894,0.401578,0.411127
0.00179,0.358309,0.400868,0.410103
0.0018,0.357726,0.40016,0.40908
0.00181,0.357146,0.399455,0.408056
0.00182,0.356567,0.398752,0.407034
0.00183,0.355991,0.398052,0.406012
0.00184,0.355416,0.397353,0.40499
0.00185,0.354844,0.396657,0.403969
0.00186,0.354274,0.395963,0.402948
0.00187,0.353706,0.395269,0.40194
0.00188,0.353139,0.394571,0.400956
0.00189,0.352573,0.393876,0.399972
0.0019,0.352011,0.393182,0.398989
0.00191,0.351451,0.39249,0.398007
0.00192,0.350893,0.391801,0.397025
0.00193,0.350337,0.391113,0.396044
0.00194,0.349784,0.390427,0.395063
0.00195,0.349234,0.389744,0.394083
0.00196,0.348686,0.389062,0.393103
0.00197,0.34814,0.388383,0.392124
0.00198,0.347597,0.387705,0.391146
0.00199,0.347056,0.38703,0.390168
0.002,0.346517,0.386355,0.389192
0.00201,0.34596,0.385618,0.388307
0.00202,0.345407,0.384883,0.387422
0.00203,0.344856,0.38415,0.386538
0.00204,0.344307,0.383419,0.385655
0.00205,0.343761,0.382689,0.384772
0.00206,0.343218,0.381961,0.38389
0.00207,0.342678,0.381236,0.383009
0.00208,0.34214,0.380512,0.382128
0.00209,0.341605,0.37979,0.381247
0.0021,0.341073,0.37907,0.380368
0.00211,0.340543,0.378352,0.379488
0.00212,0.340016,0.377635,0.37861
0.00213,0.339492,0.376921,0.377732
0.00214,0.338947,0.376153,0.376884
0.00215,0.338397,0.375364,0.37605
0.00216,0.33785,0.374576,0.375217
0.00217,0.337305,0.373789,0.374384
0.00218,0.336763,0.373005,0.373552
0.00219,0.336224,0.372222,0.37272
0.0022,0.335688,0.371441,0.371889
0.00221,0.335154,0.370661,0.371058
0.00222,0.334623,0.369884,0.370227
0.00223,0.334095,0.369108,0.369398
0.00224,0.333569,0.368333,0.368568
0.00225,0.333047,0.367561,0.367739
0.00226,0.332527,0.366791,0.366911
